date	id	Crop	NDVI	EVI	GNDVI	MSAVI
2019-06-17	1	BLAT TOU	0.26060665	0.2032401	0.40508488	0.1896056
2019-06-17	3	BLAT TOU	0.221705	0.15440577	0.4266708	0.15338373
2019-06-17	4	BLAT TOU	0.23082854	0.15468845	0.44186124	0.15565908
2019-06-17	5	BLAT TOU	0.40284273	0.28488526	0.5391568	0.27577984
2019-06-17	6	BLAT TOU	0.34635663	0.24336536	0.49954557	0.23933685
2019-06-17	7	BLAT TOU	0.31851843	0.2156862	0.46719402	0.20757747
2019-06-17	8	BLAT TOU	0.1930875	0.13634226	0.3978578	0.13708878
2019-06-17	9	BLAT TOU	0.28061163	0.18383181	0.46265647	0.18644679
2019-06-17	10	BLAT TOU	0.2806788	0.19153868	0.4416815	0.18665075
2019-06-17	11	BLAT TOU	0.37437525	0.26465917	0.49841157	0.25632316
2019-06-17	12	BLAT TOU	0.31782874	0.20641492	0.49766347	0.20917726
2019-06-17	13	BLAT TOU	0.21278271	0.14735416	0.40035498	0.14809728
2019-06-17	15	BLAT TOU	0.2671608	0.1799245	0.47687444	0.17804557
2019-06-17	16	BLAT TOU	0.23383972	0.17555952	0.4108557	0.17395332
2019-06-17	17	BLAT TOU	0.31390658	0.20472215	0.4797451	0.20450157
2019-06-17	18	BLAT TOU	0.26786372	0.18017507	0.430177	0.17973542
2019-06-17	19	BLAT TOU	0.20169286	0.13668798	0.3965016	0.1346207
2019-06-17	20	BLAT TOU	0.21875991	0.1459425	0.4282989	0.14765918
2019-06-17	21	ORDI	0.23058279	0.18830636	0.40800035	0.18945214
2019-06-17	22	ORDI	0.22335826	0.16444041	0.3956172	0.16352749
2019-06-17	23	ORDI	0.21130079	0.14199004	0.42445278	0.14446962
2019-06-17	24	ORDI	0.43006766	0.32105672	0.5218138	0.3035441
2019-06-17	25	ORDI	0.22959784	0.15484224	0.43652564	0.15643442
2019-06-17	27	ORDI	0.23213515	0.15729909	0.43716538	0.15751976
2019-06-17	28	ORDI	0.3372505	0.26812366	0.48896274	0.26560098
2019-06-17	29	ORDI	0.29420432	0.20902827	0.505755	0.2152991
2019-06-17	30	ORDI	0.36534557	0.26137316	0.528792	0.26083365
2019-06-17	31	ORDI	0.29367745	0.22875002	0.45341504	0.22188902
2019-06-17	32	ORDI	0.2974519	0.22107528	0.47351298	0.22069865
2019-06-17	33	ORDI	0.36718917	0.36760515	0.44400302	0.31284225
2019-06-17	34	ORDI	0.27201816	0.1954054	0.4540554	0.19507223
2019-06-17	35	ORDI	0.23633938	0.17908041	0.4258165	0.17996097
2019-06-17	36	ORDI	0.24418555	0.16196956	0.44433945	0.1642623
2019-06-17	37	ORDI	0.25550425	0.17128518	0.45009673	0.1730302
2019-06-17	38	ORDI	0.2891547	0.2035603	0.47801587	0.20473084
2019-06-17	39	ORDI	0.30909032	0.20320402	0.49048927	0.20536315
2019-06-17	40	ORDI	0.36081836	0.24250722	0.5095286	0.24470812
2019-06-17	41	ORDI	0.1886852	0.1478959	0.3682557	0.14748895
2019-06-17	42	ORDI	0.1939989	0.13652249	0.36684537	0.13233057
2019-06-17	43	ORDI	0.23769487	0.17174946	0.42297465	0.1738387
2019-06-17	44	ORDI	0.18496329	0.12608191	0.36482146	0.12209457
2019-06-17	45	ORDI	0.23663507	0.17146236	0.44844833	0.1707375
2019-06-17	46	ORDI	0.18613899	0.13243863	0.37212488	0.12988472
2019-06-17	47	CIVADA	0.18737236	0.16945541	0.33152485	0.15814483
2019-06-17	49	GUARET SIE/ SUP. LLIURE SEMBRA	0.23352392	0.1717752	0.4202053	0.16974306
2019-06-17	51	GUARET SIE/ SUP. LLIURE SEMBRA	0.13796456	0.14892265	0.24123353	0.124955356
2019-06-17	52	GUARET SIE/ SUP. LLIURE SEMBRA	0.09276239	0.09082335	0.23780449	0.082000494
